Metric,Value
Stock Name,META
Analysis Period,Last 10 Days
From Date,12/1/2025
To Date,12/12/2025
Current Price,644.23
Price Change,3.3600000000000136
Percent Change,0.52%
10-Day High,711.0
10-Day Low,637.55
Avg Volume,15703021
